Name,Website,Institution,Klassifikation,Kurz Beschreibung,Schlagwörter,Land,Sprache,Software / Modell / Format,Lizenz,Open access,Aktuell/gepflegt,Betrifft Konservierung/Restaurierung,Betrifft Denkmalschutz
Multilingual Glossary for Art Librarians,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://melbourneartnetwork.com.au/files/vii/s30/pub/mg1.pdf ; https://www.degruyterbrill.com/document/doi/10.1515/9783110977653/html?srsltid=AfmBOoqibP26sgph3NpAofUN0sqpl0E4xO0McfUmg7Vw7bjQTPV2HbeF ,International Federation of Library Associations and Institutions - Section of Art Libraries,Vokabular,Mehrsprachiges Glossar zu Begriffen aus den Bereichen Kunst- und Bibliothekswesen. 2. Erweiterte Auflage der ursprünglichen Publikation. ,,diverse,"deutsch, englisch, französisch, niederländisch, iatlienisch, spanisch, schwedisch",PDF,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,FALSE,TRUE,FALSE
Museumvokabular,http://www.museumsvokabular.de/,Pro Sammlung e.V.,"Vokabular, Repositorium","Portal zur Bereitstellung, Bearbeitung und Vernetzung kontrollierter Vokabulare für die Museumsdokumentation. Es bietet digital verfügbare Vokabulare, die von ihren Verantwortlichen zur Nutzung frei bereitgestellt werden. Die Plattform unterstützt Museen dabei, ihre Sammlungen konsistent zu erschließen und zu klassifizieren.",,DE,deutsch,HTML,Variiert je nach Vokabular; viele unter offenen Lizenzen verfügbar,TRUE,TRUE,TRUE,TRUE
Niedersachsen Denkmalpflege-Thesauri,https://uri.gbv.de/terminology/?search=Nieders%C3%A4chsisches%20Landesamt,Niedersächsisches Landesamt für Denkmalpflege,Vokabular,"Sammlung von Vokabularen des Niedersächsischen Landesmt für Denkmalpflege, die über DANTE bzw. das GBV Terminologieportal zur Verfügung gestellt werden.",,DE,deutsch,"Webanwendung, RDF, SKOS",Variiert je nach Vokabular; viele unter Creative Commons Lizenzen,TRUE,TRUE,TRUE,TRUE
Nomenclature for museum cataloguing,https://page.nomenclature.info/index.app,,Vokabular,"Strukturiertes, kontrolliertes Vokabular zur Klassifikation und Benennung von musealen Objekten, insbesondere in historischen und ethnologischen Sammlungen. Die Online-Ressource bietet eine durchsuchbare Hierarchie von Begriffen, unterstützt durch Definitionen, Synonyme und Illustrationen. ",,"CA, USA","englisch, französisch",HTML,Open Data Commons Attribution License (geplant für vollständige Linked Open Data-Freigabe),TRUE,TRUE,TRUE,TRUE
Numismatic Description Schema (NUDS),https://nomisma.org/nuds,,Datenschema,"Das Numismatic Description Schema (NUDS) ist ein XML-basiertes Datenmodell zur strukturierten Beschreibung von Münzen und verwandten Objekten. Es wurde entwickelt, um numismatische Informationen standardisiert zu erfassen und den Austausch zwischen Datenbanken zu erleichtern. Die Ressource auf Nomisma.org bietet die vollständige Dokumentation des Schemas, einschließlich einer detaillierten Auflistung der Elemente und Attribute sowie Beispiele für deren Anwendung.",,International,englisch,XML (XDS-Schema),Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,FALSE,TRUE,TRUE
OASIS,https://oasis.ac.uk/country/england/index.xhtml?country=england,ADS,Anwendung/Software,"Online-System zur Erfassung und Weitergabe von Informationen aus archäologischen und denkmalpflegerischen Untersuchungen in England. Es ermöglicht Fachleuten, ihre Forschungsergebnisse mit lokalen und nationalen Stellen zu teilen, Berichte hochzuladen und Daten in regionale Forschungsrahmen einzubinden.",,UK,englisch,Web-Service,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,TRUE,TRUE
ObjectID,https://icom.museum/en/resources/standards-guidelines/objectid/ ,ICOM - International Council of Museums,"Datenschema, Fachdokumentation","Object ID ist ein international anerkannter Dokumentationsstandard zur Identifizierung und Beschreibung von Kulturgütern. Die Online-Ressource bietet umfassende Informationen über die Anwendung des Standards, einschließlich einer Checkliste zur Erfassung relevanter Objektdaten. Ziel ist es, die Wiedererkennung und Rückführung gestohlener oder verlorener Objekte zu erleichtern und den illegalen Handel mit Kulturgütern zu bekämpfen.",,International,diverse,"HTML, PDF","Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. Object ID ™ is a trademark of the J. Paul Getty Trust. Use of this trademark is prohibited without permission from: ICOM, 15 rue Lasson, 75012 Paris, France © The J. Paul Getty Trust, 1999. All rights reserved.",TRUE,TRUE,TRUE,TRUE
Oddy-Test,https://www.smb.museum/museen-einrichtungen/rathgen-forschungslabor/forschung/forschungsergebnisse/der-oddy-test/,Rathgen-Forschungslabor,"Fachdokumentation, Repositorium","Informationsseite des Rathgen-Forschungslabors über den Oddy-Test. Enthält Hintergrundinformationen zum Testverfahren, eine Anleitung zur Durchführung sowie eine aktuelle Materialtabelle als PDF.",,DE,"deutsch, englisch",PDF,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,TRUE,FALSE
Ökumenisches Heiligenlexikon,https://www.heiligenlexikon.de/,Joachim Schäfer,Vokabular,"Konfessionsübergreifendes Online-Lexikon mit über 10.000 Biografien von Heiligen, Seligen und weiteren religiösen Persönlichkeiten. Enthält Kalender, Glossar und Bilder.",,DE,deutsch,HTML,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,TRUE,TRUE
Ontology for Degredation Phenomena and Annotation on 3D Reconstructions (ODPA-3DR),https://ieeexplore.ieee.org/document/7419528,Arts et métiers ParisTech,Ontologie,"semantisches Datenmodell des ANR MONUMENTUM Project zur Erfassung und Integration multidisziplinärer Beobachtungen des Erhaltungszustands von Mauerwerken, die in einer realitätsbasierten 3D-Darstellung verräumlicht werden.",,FR,englisch,"Protégé/OWL, CIDOC CRM",Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,FALSE,FALSE,TRUE,FALSE
Ontology for the decision-making of conservation and restoration intervention of Cultural Heritage (DCRI),https://github.com/ii-aegean/DCRI-ont,"National Museum of Contemporary Art Athens (EMST),
National Gallery Alexandros Soutsos Museum (EPMAS)",Ontologie,"semantisches Datenmodell, welches das Fachwissen in Bezug auf die Wahl/Entscheidung der geeignetsten konservatorischen Maßnahme in verschiedenen Fällen repräsentiert und integriert. Die Ontologie soll den Prozess der Entscheidungsfindung in einer Granularität konzeptualisieren, die eine sehr detaillierte Darstellung ermöglicht. 

Darüber hinaus ist in Form von Individuen Fachwissen in Bezug auf zwei konkrete Anwendungsfälle enthalten: die Reinigung oberflächlicher Ablagerungen und die Konsolidierung von abblätternder Gouache",,GR,englisch,"Protégé/OWL, SWRL, SKOS",CC0 1.0 Lizenz,TRUE,TRUE,TRUE,FALSE
Ontology of Paintings and Preservation of Art (OPPRA),http://www.20thcpaint.org/oppra-owl/,University of Queensland (eResearch Lab) und Asia Pacific Twentieth Century Conservation Art Research Network,Ontologie,Semantisches Datenmodel aus dem Twentieth Century Paint Project (20thCPaint) mit Spezialisierung auf Konservierung und Restaurierung von Gemälden. Wurde entwickelt um konservierungsspezifische Dokumentationsdaten sowie Daten aus Publikationen zu sammeln und für automatisiertes Reasoning zu integrieren. Die Ontologie sowie die Projektseite sind nicht mehr erreichbar.,,AUS,englisch,"Protégé / Cidoc CRM,  OIA-ORE, OreChem ",URL nicht mehr erreichbar,FALSE,FALSE,TRUE,FALSE
OGC-Standards,https://www.ogc.org/de/standards/,Open Geospatial Consortium (OGC),Datenschema,"Verschiedene international anerkannte Standards der gemeinnützigen Organisation Open Geospatial Consortium, die einen nahtlosen Informationsaustausch zwischen verschiedenen Systemen ermöglichen.",,International,diverse,,Standards sind öffentlich und lizenzfrei verfügbar,TRUE,TRUE,FALSE,TRUE
Painting Conservation - Glossary of Terms - Smithsonian Museum Conservation Institute,https://mci.si.edu/painting-conservation-glossary-terms,Smithsonian’s Museum Conservation Institute,Vokabular,Umfassendes Glossar mit Fachbegriffen aus der Gemälderestaurierung.,,USA,englisch,HTML,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,TRUE,FALSE
PeriodO,https://perio.do/en/,PeriodO Project,"Repositorium, Fachdokumentation","PeriodO ist ein öffentlich zugängliches Verzeichnis wissenschaftlicher Definitionen von historischen, kunsthistorischen und archäologischen Zeiträumen. Es erleichtert die Verknüpfung von Datensätzen, die Zeiträume unterschiedlich definieren. Außerdem hilft es Wissenschaftler:innen und Studierenden zu erkennen, wo sich Periodendefinitionen überschneiden oder voneinander abweichen. Neben der Suche nach Zeiträumen und Epochen ist auch eine geographische Verortung des Epochenzeitraums bzw. der Verwendung möglich, sowie die Bearbeitung der Epochen und Zeitstufen",,USA,"englisch, spanisch","SKOS, OWL-Time Ontology, JSON, TURTLE, CSV",CC0 1.0,TRUE,TRUE,TRUE,TRUE
Petra archaeological park weathering and deterioration definitions,https://www.heritageforpeace.org/wp-content/uploads/2013/03/Glossary-Weathering-Deterioration-Definitions-AR-EN.pdf,Petra Archaeological Park,Vokabular,"Zweisprachiges Glossar (Arabisch–Englisch) bietet Definitionen zu verschiedenen Formen der Verwitterung und des Verfalls von Steinmaterialien, insbesondere im Kontext des Petra Archaeological Park in Jordanien.",,ESP,"arabisch, englisch",PDF,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,FALSE,TRUE,TRUE
Photographic process terms glossary,https://peib.dmu.ac.uk/about/glossary.php,National Gallery of Canada,Vokabular,"Das Glossar bietet eine umfassende Sammlung von Begriffen zu fotografischen Verfahren des 19. Jahrhunderts, insbesondere aus der Zeit von 1839 bis 1865. Es erläutert Prozesse wie Albumin-, Kalotypie-, Kollodium- und andere historische Techniken, die in britischen Fotoausstellungen verwendet wurden. Jede Definition enthält historische Kontexte und Verweise auf zeitgenössische Quellen.",,UK,englisch,HTML,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,FALSE,TRUE,FALSE
PLEIADES,https://pleiades.stoa.org/,"Institute for the Study of the Ancient World, Ancient World Mapping Center u. a.",Vokabular,"Pleiades ist ein von der Gemeinschaft erstellter Gazetteer antiker Orte. Es veröffentlicht nicht nur für einzelne Nutzer, sondern auch für Suchmaschinen und für die wachsende Zahl von computergestützten Forschungs- und Visualisierungswerkzeugen, die die geisteswissenschaftliche Lehre und Forschung unterstützen. Zur besseren Verortung ist Pleiades zudem mit einem GIS verknüpft.",,diverse,englisch,"JSON, CSV, KML, RDF/XML, Turtle, API, GeoJSON",CC BY 3.0 US ,TRUE,TRUE,FALSE,TRUE
Polygnosis platform model/ Polygnosis thesaurus,"http://politeia.iesl.forth.gr/polygnosis/ ; 
https://www.ims.forth.gr/en/project/view?id=73   

","Foundation for Research and Technology Hellas (FORTH) - Institute for Mediterranean Studies -
Laboratory of Geophysical - Satellite Remote Sensing and Archaeo-environment (GeoSat ReSeArch Lab)","Vokabular, Ontologie, Anwendung/Software","semantisches Datenmodell und darauf basierender Thesaurus, die im Zuge des POLITEIA-Projektes für die Betreibung der Polygnosis educational knowledge web platform entwickelt wurden. Das Modell und der Thesaurus sollen die Zusammenarbeit interdisziplinärer Arbeitsgruppen erleichtern, um Informationen über optische und laserbasierte Techniken für die fortgeschrittene Bildgebung, Analyse und Diagnose von materiellen Kulturgütern zu finden. Weder der Thesaurus/das Datenmodell, noch die Platform sind öffentlich zugänglich und nur in Form textlicher Artikel nachzuverfolgen. ",,GR,englisch,"Cidoc CRM, SKOS, TMS THeMaS",Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,TRUE,TRUE
Post Production Glossary,https://www.digitalrebellion.com/webapps/glossary,"Digital Rebellion LLC, Los Angeles",Vokabular,"Online-Glossar mit Fachbegriffen aus der Postproduktion, einschließlich Begriffen aus den Bereichen Video-Editing, Farbkorrektur, Audio, Kompression und Medienformate.",,USA,englisch,HTML,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,TRUE,FALSE
"Preparation, Art Handling, Collection Care Information Network",https://www.paccin.org/content.php?1-home,T. Ashley McGrew,"Repositorium, Fachdokumentation","Online-Plattform zur Unterstützung von Fachleuten im Bereich der praktischen Sammlungspflege. Es bietet Ressourcen, Foren, Workshops und Konferenzen zu Themen wie Verpackung, Transport, Installation und Lagerung von Kunstwerken und Artefakten.",,USA,englisch ,"HTML, PDF, Forum",Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,TRUE,TRUE
Propylaeum@heiDATA,https://www.propylaeum.de/publizieren/forschungsdaten,Propylaeum - Fachinformationsdienst für die Altertumswissenschaften der UB Heidelberg und BSB München,"Repositorium, Anwendung/Software","Plattform zur dauerhaftem Archivierung von Forschungsdaten im Bereich der Altertumswissenschaften. Diese Daten erhalten einen DOI und können direkt mit Online-Publikationen auf den Heidelberger Publikationsplattformen verknüpft werden. Die Archivierung erfolgt über Plattformen wie heiDATA, heidICON und DWork. Zudem ist Propylaeum seit 2023 Participant von NFDI4Objects, einem Konsortium zur Langzeitarchivierung von Forschungsdaten im Bereich des materiellen Erbes.",,DE,deutsch,,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,TRUE,TRUE
Raman Spectroscopic Library,http://www.chem.ucl.ac.uk/resources/raman/index.html,University College London,"Repositorium, Fachdokumentation","Sammlung von Raman-Spektren von über 60 natürlichen und synthetischen Pigmenten, die vor ca. 1850 verwendet wurden. Die Datenbank dient als Referenz für die nicht-invasive Analyse historischer Materialien.",,UK,englisch,"HTML, PDF",Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,FALSE,TRUE,TRUE
Rare Books and Manuscripts Section,https://rbms.info/vocabularies/index.shtml,American Library Association,Vokabular,"Die RBMS Controlled Vocabularies bieten standardisierte Terminologien für die Katalogisierung von seltenen Büchern und besonderen Sammlungen. Sie umfassen sechs Thesauri: Binding Terms, Genre Terms, Paper Terms, Printing & Publishing Evidence, Provenance Evidence und Type Evidence. Diese Vokabulare helfen bei der Beschreibung und dem Auffinden von Materialien anhand ihrer physischen Merkmale und Provenienz.",,USA,englisch,"MediaWiki, HTML; geplante Veröffentlichung als Linked Open Data",Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,TRUE,TRUE
Ratgeber zur Archivierung digitaler Daten,https://www.landesarchaeologien.de/kommissionen/archaeologie-und-informationssysteme,VLA,Fachdokumentation,"Ratgeber der auf allgemein verfügbaren
methodischen und technischen Ansätze zur Archivierung digitaler Daten basiert und praxisorientierte Empfehlungen, Vorschläge und Tipps gibt. (Sachstand 2012)",,DE,deutsch,PDF,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,TRUE,TRUE
Research space,https://researchspace.org/,"British Museum, London","Ontologie, Anwendung/Software, Repositorium","ResearchSpace ist eine webbasierte Plattform zur semantischen Modellierung, Analyse und Visualisierung von Kulturerbe-Daten. Sie basiert auf dem CIDOC CRM und ermöglicht die Integration heterogener Datenquellen mittels Linked Data-Prinzipien. Die Plattform unterstützt die Darstellung komplexer Beziehungen zwischen Objekten, Ereignissen, Orten und Akteuren in Form von Wissensgraphen.",,International,englisch,Cidoc CRM,AGPLv3 (Open Source),TRUE,TRUE,TRUE,TRUE
Resource Description Framework (RDF),https://en.wikipedia.org/wiki/Resource_Description_Framework,,"Ontologie, Datenschema",RDF ist ein W3C-Standard zur Beschreibung von Datenmodellen in Form von Tripeln (Subjekt–Prädikat–Objekt). Es dient der Darstellung und dem Austausch von Informationen im Semantic Web und ermöglicht die Verknüpfung und Integration heterogener Datenquellen.,,International,englisch,"RDF, XML, Turtle, TriG, N-Triples, N-Quads, JSON-LD",W3C Document License,TRUE,TRUE,TRUE,TRUE
Richtlinien zur Dokumentation archäologischer Maßnahmen / Ausgrabungen,https://denkmalpflege.niedersachsen.de/service/dokumentation/fachinformation-archaeologie-145712.html,Niedersächsische Landesamt für Denkmalpflege,Fachdokumentation,"Grabungsrichtlinien des Landes Niedersachsen, sowie zugehörige Vorgaben zur Datenstruktur und Formularvorgaben.",,DE,deutsch,PDF,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,FALSE,TRUE
Richtlinie zur Durchführung archäologischer Grabungen im Land Bremen,https://www.landesarchaeologie.bremen.de/aufgaben/dokumentationsrichtlinie-12235,Landesarchäologie Bremen,Fachdokumentation,"Grabungsrichtlinien des Landes Bremen, sowie zugehörige Vorgaben zur Datenstruktur und Formularvorgaben.",,DE,deutsch,PDF,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,FALSE,TRUE
Richtlinien zur Grabungsdokumentation Brandenburg,https://bldam-brandenburg.de/wp-content/uploads/2022/09/Dokumentationsrichtlinien_2022_Stand-20220926.pdf,"Brandenburgisches Landesamt für Denkmalpflege und Archäologisches Landesmuseum, Dezernat Archäologische Denkmalpflege",Fachdokumentation,"Grabungsrichtlinien des Landes Brandenburg, sowie zugehörige Vorgaben zur Datenstruktur und Formularvorgaben.",,DE,deutsch,PDF,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,FALSE,TRUE
"Romoe Restauratoren Netzwerk - Restaurierung, Kunst, Denkmalpflege",https://www.romoe.com/de/,Anuvito GmbH,Repositorium,"Internationales Netzwerk mit Fokus auf Restaurierung, Konservierung, Kunst, Denkmalpflege und Denkmalschutz. Bietet Verzeichnisse von Fachleuten, Organisationen, Veranstaltungen sowie thematische Inhalte.",,DE,deutsch,HTML,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,TRUE,TRUE
RRUFF Database,https://rruff.info/,University of Arizona,Repositorium,"Wissenschaftliche Open-Access-Datenbank mit hochqualitativen Raman-Spektren, Röntgenbeugungsdaten, Infrarotspektren, chemischen Analysen und Fotografien von gut charakterisierten Mineralproben. Ziel ist die vollständige Erfassung aller bekannten Minerale zur Unterstützung von Forschung, Lehre und praktischer Identifikation.",,USA,englisch,HTML,Creative Commons Attribution 4.0 International License (CC BY 4.0),TRUE,TRUE,TRUE,TRUE
Rutherford Online – Lexikon der Elemente,https://www.uniterra.de/rutherford/,Universal Terra Ltd.,"Vokabular, Fachdokumentation","Online-Lexikon mit detaillierten Beschreibungen chemischer Elemente, deren Eigenschaften, Entdeckungsgeschichte, Vorkommen und Anwendungen. Enthält auch Artikel zu chemischen Bindungen und Atommodellen.",,DE,deutsch,HTML,"Keine spezifische Lizenz angegeben; urheberrechtlich geschützt
© 2025 Uniterra 🌎",TRUE,TRUE,TRUE,FALSE
Salzwiki,https://www.salzwiki.de/index.php/Startseite,"Hornemann-Institut, HAWK Hildesheim",Fachdokumentation,"Fachportal mit deutsch- und englischsprachigen Informationen zu Salzen, salzbedingten Schäden und deren Behandlung in Kulturgütern. Beinhaltet Artikel zu Grundlagen, Schadensmechanismen, Konservierungsmaßnahmen, Untersuchungsmethoden und Fallbeispielen.",,DE,"deutsch, englisch", MediaWiki,CC BY-NC-SA 3.0 DE (sofern nicht anders angegeben),TRUE,FALSE,TRUE,TRUE
Selection of Materials for the Storage or Display of Museum Objects (Oddy test),https://britishmuseum.iro.bl.uk/concern/books/102da8e4-8a79-4d94-adec-00226ee8ed60?locale=en,"British Museum, London",Fachtext,Leitfaden zur Durchführung von Materialtests (Oddy-Tests) zur Bewertung der Eignung von Materialien für Lagerung und Ausstellung in Museen. Enthält standardisierte Testverfahren und eine Datenbank mit Testergebnissen.,,UK,englisch,Excel,CC BY-NC-SA 4.0 (Attribution-NonCommercial-ShareAlike),TRUE,TRUE,TRUE,FALSE
Simple Knowledge Organisation System (SKOS),https://www.w3.org/2004/02/skos/,SKOS Simple Knowledge Organization System,"Ontologie, Vokabular","SKOS ist ein W3C-Standard zur Darstellung kontrollierter Vokabulare wie Thesauri, Klassifikationsschemata und Taxonomien im RDF-Format. Es ermöglicht die Veröffentlichung und Verlinkung von Wissensorganisationssystemen im Semantic Web.",,International,enlisch,RDF,"W3C Document License
© 1994-2012 W3C ® (MIT, ERCIM, Keio), All Rights Reserved",TRUE,TRUE,FALSE,FALSE
Stained Glass Terminology,https://www.stainedglass.org/learning-resources/stained-glass-dictionary,The Stained Glass Association of America,Vokabular,"Glossar mit Fachbegriffen aus der Architektur- und Kunstglasbranche, einschließlich Definitionen zu Materialien, Techniken, Stilen und architektonischen Elementen im Kontext von Bleiglas und Glasgestaltung.",,USA,englisch,HTML,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,TRUE,TRUE
"Standard zur Durchführung archäologischer
Grabungen im Land Berlin",https://www.berlin.de/landesdenkmalamt/service/formulare/#Bodendenkmalpflege,Landesdenkmalamt Berlin,Fachdokumentation,"Grabungsrichtlinien des Landes Berlin, sowie zugehörige Vorgaben zur Datenstruktur und Formularvorgaben.",,DE,deutsch,PDF,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,FALSE,TRUE
Stretchers and Strainers: Glossary,https://www.conservation-wiki.com/wiki/Stretchers_and_Strainers:_Glossary,American Institute for Conservation,Vokabular,"Glossar mit über 80 Fachbegriffen zu Keilrahmen und Spannrahmen, einschließlich Definitionen zu Bauteilen, Verbindungstechniken und Spannsystemen, mit historischen und technischen Kontexten.",,USA,englisch,MediaWiki,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,TRUE,FALSE
Survey2GIS,https://www.survey-tools.org/,"Landesamt für Denkmalpflege im Regierungspräsidium Stuttgart, CSGIS GbR",Anwendung/Software,"Open-Source Feldvermessungs- und Grabungssoftware, welche die nahtlose Überführung von topographischen Vermessungsdaten aus GPS-Geräten oder Totalstationen in attribuierte Geometriedaten ermöglicht.",,DE,englisch,?,GNU GPL 2.0/3.0,TRUE,TRUE,FALSE,TRUE
Themenblätter archäologische Archivierung,https://www.landesarchaeologien.de/kommissionen/archaeologie-und-informationssysteme/projekte-3#c409,Verband der Landesn in der Bundesrepublik Deutschland e. V.,Fachdokumentation,"Themenblätter, die den ""Ratgeber zur Archivierung digitaler Daten"" in aktualisierter Form fortsetzen und sich Themen wie Archivwürdigkeit und Erhaltungsstrategien (nach Materialtypen) widmen.",,DE,deutsch,PDF,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,FALSE,TRUE
Thesaurus For Graphic Materials,https://www.loc.gov/cds/products/product.php?productID=81,Library of Congress,Vokabular,"Zweiteiliger Thesaurus zur Beschreibung und Klassifikation von grafischen Materialien. TGM I umfasst thematische Begriffe (Subject Terms), TGM II behandelt Gattungen und physikalische Merkmale (Genre and Physical Characteristic Terms). Ursprünglich von der Prints and Photographs Division entwickelt, wird er landesweit zur Katalogisierung visueller Materialien verwendet.",,USA,englisch,"MultiTes, HTML, PDF (verfügbar über Cataloger's Desktop)",Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,FALSE,TRUE,FALSE
FISH Thesaurus of monument types,https://collectionstrust.org.uk/resource/thesaurus-of-monument-types-fish/,Collections Trust,Vokabular,"Kontrolliertes Vokabular zur Klassifikation von Denkmaltypen des gebauten und unterirdischen Kulturerbes in England. Enthält Begriffe für verschiedene Monumenttypen, strukturiert nach thematischen Kategorien.",,UK,englisch,"SKOS, RDF",Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,TRUE,TRUE
Time Ontology in Web Ontology Language (OWL-Time),https://www.w3.org/TR/owl-time/,,Ontologie,"OWL-2 DL-Ontologie zur Beschreibung temporaler Konzepte wie Zeitpunkte, Zeitintervalle, Dauer und deren topologischer Beziehungen. Unterstützt verschiedene Zeitreferenzsysteme (z. B. Gregorianischer Kalender, Unix-Zeit, geologische Zeit).",,International,englisch,OWL,"W3C Software and Document License, Copyright © 2022 W3C ® (MIT, ERCIM, Keio, Beihang)",TRUE,TRUE,FALSE,FALSE
Uemura dye archive,https://cameo.mfa.org/wiki/Category:Uemura_dye_archive,"Museum of Fine Arts, Boston","Fachdokumentation, Repositorium","Sammlung von 744 gefärbten Stoffproben aus dem frühen 20. Jahrhundert, erstellt von Uemura Rokuro, einem Experten für traditionelle japanische Färbetechniken. Enthält japanische Originaltexte mit englischer Übersetzung sowie Bilder der Proben unter sichtbarem und ultraviolettem Licht.",,USA,"englisch, japanisch","HTML, MediaWiki",Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,TRUE,FALSE
UncertaintyOntology,https://www.w3.org/2005/Incubator/urw3/wiki/UncertaintyOntology.html,World Wide Web Consortium (W3C),Ontologie,"Ontologie zur Modellierung und Klassifikation von Unsicherheiten in Aussagen, einschließlich Typen wie Ambiguität, Vagheit, Inkomplettheit und entsprechenden mathematischen Modellen wie Wahrscheinlichkeit und Fuzzy-Sets.",,International,englisch,"OWL, RDF",Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,FALSE,FALSE,FALSE
Union List of Artist Names,https://www.getty.edu/research/tools/vocabularies/ulan/,Getty Research Institute,Vokabular,"Kontrolliertes Vokabular mit über 500.000 Einträgen zu Künstler:innen, Architekt:innen, Werkstätten, Institutionen und anderen Akteur:innen im Bereich der Kunst und Architektur. Enthält biografische Daten, Namensvarianten und hierarchische sowie assoziative Beziehungen.",,USA,englisch,HTML,Open Data Commons Attribution License (ODC-BY) 1.0,TRUE,TRUE,TRUE,TRUE
Urushi Glossary,http://urushigakusha.jp/uploads/sites/2/Essential_Bilingual_Glossary_of_Japanese_Urushi_Materials_and_Techniques.pdf,"Mejiro Urushi Studio, Tokyo",Vokabular,"Zweisprachiges Glossar mit 105 grundlegenden Begriffen zu Materialien und Techniken der japanischen Urushi-Lackkunst, erstellt vom Mejiro Institute of Urushi Research and Restoration.",,JP,"englisch, japanisch",PDF,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,TRUE,FALSE
Viaduct - Glossary analytical methods,http://www.viaduct-diadrasis.net/glossary,"Diadrasis, Athen",Vokabular,Textbasiertes Glossar mit Definitionen zu Fachbegriffen aus der Konservierung und Restaurierung.,,GR,englisch,HTML,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,FALSE,TRUE,TRUE
Viaduct - Image glossary analytical methods,http://www.viaduct-diadrasis.net/image-glossary,"Diadrasis, Athen",Vokabular,Visuell unterstütztes Glossar zur Beschreibung von Analyseverfahren und Schadensphänomenen an Kulturgut. Entwickelt zur Förderung der interdisziplinären Kommunikation im Bereich der Konservierung und Restaurierung.,,GR,englisch,HTML,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,FALSE,TRUE,TRUE
Video Preservation: Glossary of Terms,https://cool.culturalheritage.org/byorg/bavc/bavcterm.html,Bay Area Video Coalition,Vokabular,"Glossar zur Standardisierung von Begriffen im Bereich der Videobandkonservierung. Enthält Definitionen zu physikalischen und chemischen Eigenschaften von Videobändern, Alterungsprozessen und Erhaltungsmaßnahmen.",,USA,englisch,HTML,"Keine spezifische Lizenz angegeben; urheberrechtlich geschützt / ©1996 Rebecca Bachman, Walker Art Center Archives",TRUE,FALSE,TRUE,FALSE
Virtual International Authority File,https://viaf.org/de,OCLC,"Vokabular, Anwendung/Software","VIAF® (Virtual International Authority File) kombiniert mehrere Normdateien in einem von OCLC gehosteten Normdatendienst. Ziel dieses Dienstes ist die Steigerung des Nutzens der bibliothekarischen Normdateien bei gleichzeitiger Kostenreduzierung, indem weitgenutzte Normdateien zusammengeführt und verlinkt und so die Daten im Web zugänglich gemacht werden.",,diverse,diverse,"XML, RDF, RDF-Triple, Marc-21 XML, Marc-21",Open Data Commons Attribution License (ODC-By) v1.0,TRUE,TRUE,TRUE,FALSE
